
NUMBER	TC1	BIN	HEX
1	6980368	011010101000001100010000	6A8310
2	5517055	010101000010111011111111	542EFF
3	1336159	0101000110001101011111	14635F
4	6750185	011001101111111111101001	66FFE9
5	1771937	0110110000100110100001	1B09A1
6	360952	01011000000111111000	581F8
7	5672561	010101101000111001110001	568E71
8	916583	011011111110001100111	DFC67
9	2700138	01010010011001101101010	29336A
10	9645053	0100100110010101111111101	932BFD
11	1181110	0100100000010110110110	1205B6
12	1492185	0101101100010011011001	16C4D9
13	4018595	01111010101000110100011	3D51A3
14	7654888	011101001100110111101000	74CDE8
15	7062453	011010111100001110110101	6BC3B5
16	2478010	01001011100111110111010	25CFBA
17	6134768	010111011001101111110000	5D9BF0
18	8420417	0100000000111110001000001	807C41
19	2917489	01011001000010001110001	2C8471
20	3340773	01100101111100111100101	32F9E5
21	1115956	0100010000011100110100	110734
22	9172192	0100010111111010011100000	8BF4E0
23	6271996	010111111011001111111100	5FB3FC
24	8686939	0100001001000110101011011	848D5B
25	50986	01100011100101010	C72A
26	9376410	0100011110001001010011010	8F129A
27	5962327	010110101111101001010111	5AFA57
28	7686891	011101010100101011101011	754AEB
29	6615183	011001001111000010001111	64F08F
30	1864844	0111000111010010001100	1C748C
31	3329962	01100101100111110101010	32CFAA
32	3942794	01111000010100110001010	3C298A
33	2614836	01001111110011000110100	27E634
34	7406772	011100010000010010110100	7104B4
35	2384190	01001000110000100111110	24613E
36	398347	01100001010000001011	6140B
37	8698503	0100001001011101010000111	84BA87
38	9551696	0100100011011111101010000	91BF50
39	1019556	011111000111010100100	F8EA4
40	1677430	0110011001100001110110	199876
41	3479629	01101010001100001001101	35184D
42	9309008	0100011100000101101010000	8E0B50
43	5266170	010100000101101011111010	505AFA
44	4094340	01111100111100110000100	3E7984
45	1754055	0110101100001111000111	1AC3C7
46	5861132	010110010110111100001100	596F0C
47	4471329	010001000011101000100001	443A21
48	8826052	0100001101010110011000100	86ACC4
49	7469325	011100011111100100001101	71F90D
50	1973172	0111100001101110110100	1E1BB4
51	53145	01100111110011001	CF99
52	3897508	01110110111100010100100	3B78A4
53	7773386	011101101001110011001010	769CCA
54	6089829	010111001110110001100101	5CEC65
55	4223424	010000000111000111000000	4071C0
56	9761752	0100101001111001111011000	94F3D8
57	7930799	011110010000001110101111	7903AF
58	3597495	01101101110010010110111	36E4B7
59	9302948	0100011011111001110100100	8DF3A4
60	2288712	01000101110110001001000	22EC48
61	197187	0110000001001000011	30243
62	5266939	010100000101110111111011	505DFB
63	221545	0110110000101101001	36169
64	7957027	011110010110101000100011	796A23
65	3195361	01100001100000111100001	30C1E1
66	7106269	011011000110111011011101	6C6EDD
67	9633312	0100100101111111000100000	92FE20
68	9713704	0100101000011100000101000	943828
69	91925	010110011100010101	16715
70	4418686	010000110110110001111110	436C7E
71	9682250	0100100111011110101001010	93BD4A
72	2583824	01001110110110100010000	276D10
73	4979126	010010111111100110110110	4BF9B6
74	6280954	010111111101011011111010	5FD6FA
75	1228610	0100101011111101000010	12BF42
76	705518	010101100001111101110	AC3EE
77	1017653	011111000011100110101	F8735
78	500098	01111010000110000010	7A182
79	7210727	011011100000011011100111	6E06E7
80	4250898	010000001101110100010010	40DD12
81	4055028	01111011101111111110100	3DDFF4
82	2754240	01010100000011011000000	2A06C0
83	452999	01101110100110000111	6E987
84	6831458	011010000011110101100010	683D62
85	207636	0110010101100010100	32B14
86	7280635	011011110001011111111011	6F17FB
87	3308937	01100100111110110001001	327D89
88	4303570	010000011010101011010010	41AAD2
89	8375055	011111111100101100001111	7FCB0F
90	1457960	0101100011111100101000	163F28
91	5197625	010011110100111100111001	4F4F39
92	3144371	01011111111101010110011	2FFAB3
93	6674138	011001011101011011011010	65D6DA
94	2692106	01010010001010000001010	29140A
95	2276769	01000101011110110100001	22BDA1
96	1940971	0111011001110111101011	1D9DEB
97	3288264	01100100010110011001000	322CC8
98	4819803	010010011000101101011011	498B5B
99	9431005	0100011111110011111011101	8FE7DD
100	3992019	01111001110100111010011	3CE9D3
101	8184782	011111001110001111001110	7CE3CE
102	2847975	01010110111010011100111	2B74E7
103	7891025	011110000110100001010001	786851
104	900082	011011011101111110010	DBBF2
105	1831532	0110111111001001101100	1BF26C
106	8428253	0100000001001101011011101	809ADD
107	2905752	01011000101011010011000	2C5698
108	9763121	0100101001111100100110001	94F931
109	257890	0111110111101100010	3EF62
110	4699761	010001111011011001110001	47B671
111	359541	01010111110001110101	57C75
112	3446150	01101001001010110000110	349586
113	4246818	010000001100110100100010	40CD22
114	1848840	0111000011011000001000	1C3608
115	938480	011100101000111110000	E51F0
116	227465	0110111100010001001	37889
117	3923488	01110111101111000100000	3BDE20
118	8915697	0100010000000101011110001	880AF1
119	4309094	010000011100000001100110	41C066
120	3891251	01110110110000000110011	3B6033
121	8627956	0100000111010011011110100	83A6F4
122	5884613	010110011100101011000101	59CAC5
123	1659318	0110010101000110110110	1951B6
124	1834855	0110111111111101100111	1BFF67
125	3386751	01100111010110101111111	33AD7F
126	3000166	01011011100011101100110	2DC766
127	9135626	0100010110110011000001010	8B660A
128	4869260	010010100100110010001100	4A4C8C
129	76550	010010101100000110	12B06
130	432271	01101001100010001111	6988F
131	251028	0111101010010010100	3D494
132	7016218	011010110000111100011010	6B0F1A
133	6896099	011010010011100111100011	6939E3
134	8386350	011111111111011100101110	7FF72E
135	8637147	0100000111100101011011011	83CADB
136	936705	011100100101100000001	E4B01
137	6602175	011001001011110110111111	64BDBF
138	1429181	0101011100111010111101	15CEBD
139	8395138	0100000000001100110000010	801982
140	6132809	010111011001010001001001	5D9449
141	5936917	010110101001011100010101	5A9715
142	2878578	01010111110110001110010	2BEC72
143	158885	0100110110010100101	26CA5
144	2441957	01001010100001011100101	2542E5
145	5914794	010110100100000010101010	5A40AA
146	3999272	01111010000011000101000	3D0628
147	3142897	01011111111010011110001	2FF4F1
148	8151159	011111000110000001110111	7C6077
149	5147564	010011101000101110101100	4E8BAC
150	4595374	010001100001111010101110	461EAE
151	4234951	010000001001111011000111	409EC7
152	7880605	011110000011111110011101	783F9D
153	7009921	011010101111011010000001	6AF681
154	695580	010101001110100011100	A9D1C
155	7370443	011100000111011011001011	7076CB
156	7921729	011110001110000001000001	78E041
157	8419625	0100000000111100100101001	807929
158	7024080	011010110010110111010000	6B2DD0
159	3905988	01110111001100111000100	3B99C4
160	1767599	0110101111100010101111	1AF8AF
161	935136	011100100010011100000	E44E0
162	635788	010011011001110001100	9B38C
163	8807719	0100001100110010100100111	866527
164	317375	01001101011110111111	4D7BF
165	9975410	0100110000011011001110010	983672
166	2727968	01010011010000000100000	29A020
167	7444399	011100011001011110101111	7197AF
168	4065675	01111100000100110001011	3E098B
169	9925720	0100101110111010001011000	977458
170	2293633	01000101111111110000001	22FF81
171	7734826	011101100000011000101010	76062A
172	1065463	0100000100000111110111	1041F7
173	1105617	0100001101111011010001	10DED1
174	5325800	010100010100001111101000	5143E8
175	3822527	01110100101001110111111	3A53BF
176	5503858	010100111111101101110010	53FB72
177	9214055	0100011001001100001100111	8C9867
178	6521769	011000111000001110101001	6383A9
179	7923796	011110001110100001010100	78E854
180	5250236	010100000001110010111100	501CBC
181	1083154	0100001000011100010010	108712
182	472141	01110011010001001101	7344D
183	9597454	0100100100111001000001110	92720E
184	1581679	0110000010001001101111	18226F
185	656751	010100000010101101111	A056F
186	345464	01010100010101111000	54578
187	4281218	010000010101001110000010	415382
188	6558883	011001000001010010100011	6414A3
189	3852986	01110101100101010111010	3ACABA
190	6263187	010111111001000110010011	5F9193
191	5828308	010110001110111011010100	58EED4
192	8058535	011110101111011010100111	7AF6A7
193	9035191	0100010011101110110110111	89DDB7
194	7922103	011110001110000110110111	78E1B7
195	9366003	0100011101110100111110011	8EE9F3
196	4555717	010001011000001111000101	4583C5
197	3526753	01101011101000001100001	35D061
198	3176815	01100000111100101101111	30796F
199	858440	011010001100101001000	D1948
200	2250854	01000100101100001100110	225866

NUMBER	TC2	BIN	HEX
1	7116776	011011001001011111101000	6C97E8
2	1666340	0110010110110100100100	196D24
3	8886983	0100001111001101011000111	879AC7
4	839365	011001100111011000101	CCEC5
5	924280	011100001101001111000	E1A78
6	1026310	011111010100100000110	FA906
7	1615293	0110001010010110111101	18A5BD
8	1063875	0100000011101111000011	103BC3
9	679035	010100101110001111011	A5C7B
10	5201970	010011110110000000110010	4F6032
11	593979	010010001000000111011	9103B
12	801371	011000011101001011011	C3A5B
13	3796878	01110011110111110001110	39EF8E
14	7489201	011100100100011010110001	7246B1
15	9740020	0100101001001111011110100	949EF4
16	9128737	0100010110100101100100001	8B4B21
17	5473463	010100111000010010110111	5384B7
18	8701957	0100001001100100000000101	84C805
19	8238050	011111011011001111100010	7DB3E2
20	8679038	0100001000110111001111110	846E7E
21	385912	01011110001101111000	5E378
22	5867340	010110011000011101001100	59874C
23	4894542	010010101010111101001110	4AAF4E
24	8999451	0100010010101001000011011	89521B
25	4392535	010000110000011001010111	430657
26	2078131	0111111011010110110011	1FB5B3
27	3070124	01011101101100010101100	2ED8AC
28	7451998	011100011011010101011110	71B55E
29	5635510	010101011111110110110110	55FDB6
30	1233932	0100101101010000001100	12D40C
31	6089867	010111001110110010001011	5CEC8B
32	1792316	0110110101100100111100	1B593C
33	6298637	011000000001110000001101	601C0D
34	2408038	01001001011111001100110	24BE66
35	8510100	0100000011101101010010100	81DA94
36	991581	011110010000101011101	F215D
37	6455739	011000101000000110111011	6281BB
38	7829175	011101110111011010110111	7776B7
39	6328931	011000001001001001100011	609263
40	9982305	0100110000101000101100001	985161
41	2292022	01000101111100100110110	22F936
42	1070496	0100000101010110100000	1055A0
43	8518360	0100000011111101011011000	81FAD8
44	6378470	011000010101001111100110	6153E6
45	7756258	011101100101100111100010	7659E2
46	7111767	011011001000010001010111	6C8457
47	2685897	01010001111101111001001	28FBC9
48	617946	010010110110111011010	96DDA
49	246280	0111100001000001000	3C208
50	6075442	010111001011010000110010	5CB432
51	991323	011110010000001011011	F205B
